"No. linea - archivo original","No. linea - archivo registros erroneos","No. columna","Nombre Columna","detalle error"
1745,352,2,username,"El campo no correponde a un username en la tabla usarios Ases."
1746,353,2,username,"El campo no correponde a un username en la tabla usarios Ases."
1747,354,2,username,"El campo no correponde a un username en la tabla usarios Ases."
1748,355,2,username,"El campo no correponde a un username en la tabla usarios Ases."
1749,356,2,username,"El campo no correponde a un username en la tabla usarios Ases."
1750,357,2,username,"El campo no correponde a un username en la tabla usarios Ases."
1751,358,2,username,"El campo no correponde a un username en la tabla usarios Ases."
1752,359,2,username,"El campo no correponde a un username en la tabla usarios Ases."
1753,360,2,username,"El campo no correponde a un username en la tabla usarios Ases."
1754,361,2,username,"El campo no correponde a un username en la tabla usarios Ases."
1755,362,2,username,"El campo no correponde a un username en la tabla usarios Ases."
1756,363,2,username,"El campo no correponde a un username en la tabla usarios Ases."
1757,364,2,username,"El campo no correponde a un username en la tabla usarios Ases."
1758,365,2,username,"El campo no correponde a un username en la tabla usarios Ases."
1759,366,2,username,"El campo no correponde a un username en la tabla usarios Ases."
1760,367,2,username,"El campo no correponde a un username en la tabla usarios Ases."
1761,368,2,username,"El campo no correponde a un username en la tabla usarios Ases."
1766,369,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
1768,370,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
1769,371,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
1777,372,2,username,"El campo no correponde a un username en la tabla usarios Ases."
1778,373,2,username,"El campo no correponde a un username en la tabla usarios Ases."
1788,374,2,username,"El campo no correponde a un username en la tabla usarios Ases."
1791,375,2,username,"El campo no correponde a un username en la tabla usarios Ases."
1792,376,2,username,"El campo no correponde a un username en la tabla usarios Ases."
1801,377,2,username,"El campo no correponde a un username en la tabla usarios Ases."
1814,378,2,username,"El campo no correponde a un username en la tabla usarios Ases."
1815,379,2,username,"El campo no correponde a un username en la tabla usarios Ases."
1845,380,1,seguimientoid,"El campo debe seer un valor numérico no nulo."
1846,381,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
1851,382,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
1853,383,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
1854,384,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
1859,385,1,seguimientoid,"El campo debe seer un valor numérico no nulo."
1867,386,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
1868,387,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
1869,388,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
1870,389,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
1871,390,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
1872,391,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
1873,392,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
1874,393,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
1880,394,1,seguimientoid,"El campo debe seer un valor numérico no nulo."
1883,395,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
1886,396,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
1887,397,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
1888,398,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
1889,399,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
1929,400,2,username,"El campo no correponde a un username en la tabla usarios Ases."
1971,401,2,username,"El campo no correponde a un username en la tabla usarios Ases."
1987,402,2,username,"El campo no correponde a un username en la tabla usarios Ases."
1988,403,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2011,404,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2069,405,1,seguimientoid,"El campo debe seer un valor numérico no nulo."
2093,406,1,seguimientoid,"El campo debe seer un valor numérico no nulo."
2095,407,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
2103,408,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2104,409,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2105,410,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2106,411,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2107,412,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2108,413,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2109,414,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2110,415,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2111,416,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2112,417,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2113,418,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2114,419,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2115,420,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2116,421,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2117,422,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2118,423,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2119,424,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2120,425,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2121,426,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2122,427,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2123,428,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2124,429,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2125,430,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2126,431,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2127,432,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2128,433,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2129,434,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2130,435,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2131,436,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2132,437,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2133,438,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2134,439,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2135,440,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2136,441,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2137,442,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2138,443,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2139,444,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2140,445,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2141,446,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2142,447,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2143,448,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2144,449,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2145,450,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2146,451,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2147,452,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2148,453,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2149,454,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2150,455,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2151,456,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2152,457,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2153,458,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2154,459,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2155,460,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2156,461,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2157,462,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2158,463,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2159,464,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2160,465,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2161,466,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2162,467,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2163,468,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2164,469,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2165,470,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2166,471,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2167,472,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2168,473,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2169,474,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2170,475,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2171,476,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2172,477,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2173,478,1,seguimientoid,"El campo debe seer un valor numérico no nulo."
2175,479,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2176,480,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2177,481,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2178,482,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2179,483,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2180,484,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2181,485,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2182,486,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2183,487,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2184,488,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2185,489,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2186,490,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2187,491,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2188,492,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2189,493,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2190,494,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2191,495,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2192,496,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2193,497,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2194,498,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2195,499,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2196,500,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2197,501,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2198,502,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2199,503,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2200,504,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2201,505,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2202,506,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2203,507,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2204,508,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2205,509,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2206,510,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2207,511,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2208,512,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2209,513,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2210,514,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2211,515,2,username,"El campo no correponde a un username en la tabla usarios Ases."
